school_id,record_date,week_number,school_name,type,plan,economy_level,number_students,tuition_rank,school_level,decision_maker_role,geographical_region,tenure_weeks,contract_remaining_weeks,contract_type,recent_contract_change,renewal_count,payment_delay,payment_frequency,recent_price_change,price_sensitivity,discount_applied,active_users_percentage,weekly_active_users,usage_trend,feature_adoption_rate,critical_feature_usage,peak_usage_day,session_duration_avg,session_frequency,idle_user_percentage,usage_consistency,number_messages_to_support,complain_level,support_response_time,support_ticket_trend,tech_savy_level,number_complaints_with_ceo,support_ticket_categories,sentiment,nps_score,nps_trend,sentiment_trend,feedback_participation,positive_feedback_ratio,feature_satisfaction,training_satisfaction,bugs_ratio,ratio_usability,error_rate,page_load_time,historic_complain_ratio,critical_bug_count,workflow_completion_rate,ratio_feature_requests,feature_request_fulfillment,days_since_feature_update,alignment_with_roadmap,competitor_feature_mentions,days_since_admin_login,stakeholder_engagement,training_completion_rate,days_since_cs_contact,meeting_attendance_rate,proactive_contact_ratio,week_of_year,academic_period,days_to_break,budget_cycle_position,is_renewal_period,churn_risk_score,usage_to_complaint_ratio,engagement_trend,health_score,relative_performance,roi_indicator,feature_value_ratio,churned,churn_reason
1,2024-08-17,33,School 1,public,premium,medium resource,2939,medium,k-12,Teacher Lead,Southeast,18,27,multi-year,0,0,0,annually,0.0,0.78,1,32.7,192,0.02,17.8,0,5,34,8.7,67.3,0.29,17,0.03,2.6,-0.19,0.33,0,billing,0.62,6,0.9,0.07,43.0,0.58,3,3,0.09,0.27,8.7,1179,0.18,0,70.0,0.18,0.01,22,0.58,0,10,0.38,0.55,20,0.52,0.6,33,spring mid-term,115,planning,0,0.42,7.83,-0.06,1.19,0.69,0.69,0.78,0,
1,2024-08-24,34,School 1,public,premium,medium resource,2939,medium,k-12,Teacher Lead,Southeast,19,26,multi-year,0,0,0,quarterly,0.0,0.78,0,30.7,180,0.07,17.8,0,4,37,7.0,69.3,0.24,18,0.04,23.7,-0.04,0.33,0,billing,0.6,6,0.7,-0.05,17.0,0.5,3,3,0.09,0.08,8.7,1381,0.14,0,95.0,0.11,0.0,89,0.24,0,11,0.84,0.85,11,0.97,0.7,34,spring mid-term,38,planning,0,0.43,6.2,0.04,1.17,0.41,0.69,0.68,0,
1,2024-08-31,35,School 1,public,premium,medium resource,2939,medium,k-12,Teacher Lead,Southeast,20,25,multi-year,0,0,0,annually,0.0,0.78,0,35.7,209,0.08,17.8,1,4,39,8.3,64.3,0.47,17,0.05,23.7,-0.17,0.33,0,billing,0.6,6,0.9,-0.06,27.0,0.46,3,3,0.09,0.08,8.7,1387,0.03,0,73.0,0.16,0.32,11,0.34,0,7,0.87,0.74,1,0.64,0.42,35,spring mid-term,7,depleted,0,0.42,4.45,-0.07,1.18,0.86,0.74,0.44,0,
1,2024-09-07,36,School 1,public,premium,medium resource,2939,medium,k-12,Teacher Lead,Southeast,21,24,multi-year,1,0,0,quarterly,0.0,0.78,0,34.7,204,0.01,17.8,0,4,37,8.6,65.3,0.5,19,0.12,12.0,0.08,0.33,0,feature,0.63,6,0.6,0.04,20.0,0.45,3,3,0.09,0.1,8.7,1698,0.09,0,64.0,0.13,0.38,18,0.74,0,3,0.6,0.93,19,0.7,0.35,36,spring exams,6,allocated,0,0.44,2.42,0.07,1.16,0.87,0.35,0.73,0,
1,2024-09-14,37,School 1,public,premium,medium resource,2939,medium,k-12,Teacher Lead,Southeast,22,23,multi-year,0,0,0,monthly,0.0,0.78,1,29.7,174,0.01,17.8,0,3,35,9.4,70.3,0.38,24,0.16,5.3,-0.14,0.33,0,feature,0.65,6,0.5,0.01,16.0,0.67,3,3,0.09,0.03,8.7,1589,0.17,0,94.0,0.08,0.36,85,0.97,0,13,0.89,0.98,16,0.92,0.3,37,spring exams,92,depleted,0,0.45,2.07,-0.08,1.13,0.65,0.48,0.57,0,
1,2024-09-21,38,School 1,public,premium,medium resource,2939,medium,k-12,Teacher Lead,Southeast,23,22,multi-year,0,0,0,annually,0.0,0.78,0,31.7,186,0.09,17.8,1,4,34,4.0,68.3,0.5,29,0.2,10.3,-0.03,0.33,0,billing,0.66,6,0.9,0.0,48.0,0.78,3,3,0.09,0.11,8.7,875,0.13,0,72.0,0.07,0.35,51,0.51,0,1,0.7,1.0,4,0.58,0.67,38,spring exams,62,allocated,0,0.46,1.89,-0.09,1.12,0.18,0.79,0.58,0,
1,2024-09-28,39,School 1,public,premium,medium resource,2939,medium,k-12,Teacher Lead,Southeast,24,21,multi-year,0,0,0,annually,0.0,0.78,1,31.7,186,-0.08,17.8,1,5,36,7.9,68.3,0.47,40,0.25,3.2,-0.12,0.33,0,login,0.71,7,-0.6,0.02,24.0,0.69,3,3,0.09,0.01,8.7,1498,0.22,0,92.0,0.06,0.18,49,0.09,0,5,0.42,0.99,12,1.0,0.4,39,spring exams,39,depleted,0,0.46,1.74,-0.09,1.12,0.67,0.39,0.37,0,
1,2024-10-05,40,School 1,public,premium,medium resource,2939,medium,k-12,Teacher Lead,Southeast,25,20,multi-year,0,0,0,quarterly,0.0,0.78,1,33.7,198,0.03,17.8,0,2,39,6.8,66.3,0.32,52,0.31,5.9,-0.18,0.33,0,login,0.71,7,0.2,0.06,17.0,0.65,3,3,0.09,0.2,8.7,1607,0.21,0,76.0,0.1,0.25,49,0.67,0,4,0.63,0.75,12,0.58,0.78,40,spring exams,19,depleted,0,0.47,1.84,0.02,1.09,0.08,0.71,0.51,0,
1,2024-10-12,41,School 1,public,premium,medium resource,2939,medium,k-12,Teacher Lead,Southeast,26,19,multi-year,0,0,0,annually,0.0,0.78,0,31.7,186,-0.04,17.8,1,2,38,9.5,68.3,0.1,25,0.32,19.3,0.08,0.33,0,bug,0.73,7,-0.2,-0.07,12.0,0.78,3,3,0.09,0.13,8.7,1122,0.25,0,85.0,0.15,0.36,77,0.77,2,12,0.51,0.98,14,0.59,0.44,41,summer break,93,depleted,0,0.47,1.29,0.02,1.09,0.02,0.2,0.46,0,
1,2024-10-19,42,School 1,public,premium,medium resource,2939,medium,k-12,Teacher Lead,Southeast,27,18,multi-year,0,0,0,annually,0.0,0.78,0,26.7,157,0.01,17.8,0,2,40,1.6,73.3,0.23,12,0.35,3.9,-0.13,0.33,0,usability,0.72,7,-0.1,-0.07,50.0,0.63,3,3,0.09,0.19,8.7,1801,0.24,0,64.0,0.1,0.41,16,0.91,0,1,0.65,0.43,12,0.64,0.76,42,summer break,19,allocated,0,0.49,0.87,-0.02,1.06,0.46,0.88,0.37,0,
